"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SCE^G","Southern California Edison Company","24.26","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^g",
"SCE^H","Southern California Edison Company","26.31","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^h",
"SCE^J","Southern California Edison Company","25.62","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^j",
"SCE^K","Southern California Edison Company","26.34","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^k",
"SCE^L","Southern California Edison Company","24.38","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^l",
"SO","Southern Company (The)","46.7","$46.87B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/so",
"SOJA","Southern Company (The)","26.74","n/a","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/soja",
"SOJB","Southern Company (The)","25.65","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/sojb",
"SOJC","Southern Company (The)","25.14","n/a","2017","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/sojc",
"SCCO","Southern Copper Corporation","48.74","$37.68B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/scco",
"LUV","Southwest Airlines Company","64.7","$38.39B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/luv",
"SWX","Southwest Gas Holdings, Inc.","79.13","$3.78B","n/a","Public Utilities","Oil & Gas Production","http://www.nasdaq.com/symbol/swx",
"SWN","Southwestern Energy Company","5.86","$3B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/swn",
"SWNC","Southwestern Energy Company","12.7","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/swnc",
"SPA","Sparton Corporation","23.25","$228.66M","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/spa",
"SPE","Special Opportunities Fund Inc.","15.08","$128.31M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/spe",
"SPE^B","Special Opportunities Fund Inc.","25.99","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/spe^b",
"SEP","Spectra Energy Partners, LP","42.36","$13.17B","2007","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/sep",
"SPB           ","Spectrum Brands Holdings, Inc.","119.86","$6.91B","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/spb",
"TRK","Speedway Motorsports, Inc.","19.03","$779.61M","1995","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/trk",
"SR","Spire Inc.","72","$3.48B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/sr",
"SPR","Spirit Aerosystems Holdings, Inc.","88.22","$10.2B","2006","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/spr",
"SAVE","Spirit Airlines, Inc.","43.5","$3.02B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/save",
"SRC","Spirit Realty Capital, Inc.","8.17","$3.72B","2013","Consumer Services","Building operators","http://www.nasdaq.com/symbol/src",
"SRC^A","Spirit Realty Capital, Inc.","24.88","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/src^a",
"SRLP","Sprague Resources LP","26.25","$592.01M","2013","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/srlp",
"S","Sprint Corporation","5.63","$22.52B","2013","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/s",
